煤田,矿区,采厚,面长,走向长,推进速度,开采方式,硬岩比,覆岩类型,抗压强度,采深,煤倾,导高
19,33,1.8,178,-0.047626868,-0.038961039,7,0.68,0.6,35,340,3,19.69
19,33,2,78,-0.047626868,-0.038961039,7,0.71,0.6,35,328,7,23
19,33,2,85,-0.047626868,-0.038961039,7,0.72,0.6,35,311,3,19.11
19,33,2,125,-0.047626868,-0.038961039,7,0.67,0.6,35,356,3,23.87
19,33,2,130,-0.047626868,-0.038961039,7,0.66,0.6,35,349,5.5,22.31
19,33,1.8,100,0,-0.038961039,5,0.6,0.6,35,270,18,33
19,33,2,148,-0.047626868,-0.038961039,7,0.65,0.6,35,320.5,5,31.78
19,33,3.4,140,-0.047626868,-0.038961039,7,0.7,0.6,35,409,9,40.2
19,33,3.8,150,-0.047626868,-0.038961039,7,0.46,0.6,35,451,7,43
19,33,3.8,160,-0.047626868,-0.038961039,7,0.6,0.6,35,456,7,50
19,33,2.8,135,-0.047626868,-0.038961039,7,0.35,0.4,15,841,3,82.26
19,33,3.4,154,-0.047626868,-0.038961039,7,0.4,0.4,15,360,14,70.7
19,33,6,182,-0.047626868,-0.038961039,6,0.31,0.4,15,490.5,7,88.38
19,33,4.8,150,-0.047626868,-0.038961039,6,0.47,0.4,15,499.9,12,54.79
19,33,5,160,-0.047626868,-0.038961039,6,0.7,0.6,50,501,10,31.4
19,33,3.9,205,-0.047626868,-0.038961039,6,0.59,0.6,35,516,2,31.77
19,33,3,202,-0.047626868,-0.038961039,7,0.61,0.6,35,521,2,33.37
19,33,4.5,136,-0.047626868,-0.038961039,6,0.69,0.6,35,606,2,38.19
19,33,3.1,240,-0.047626868,-0.038961039,7,0.69,0.8,60,620,4,23.51
19,33,3.3,180,0.293972738,-0.038961039,7,0.6,0.6,35,427,5,46.53
19,33,6,150,0.058301856,-0.038961039,6,0.55,0.4,14,290,8,85.6
19,33,7.8,134,0.058301856,0.181818182,6,0.75,0.4,15,329,8,83.9
19,33,5.13,149,-0.047626868,-0.038961039,7,0.42,0.6,35,475,28,45
19,33,8,89,-0.047626868,-0.038961039,6,0.78,0.8,60,200,76,48
18,11,2.6,150,0.083757596,-0.038961039,7,0.81,0.6,35,540,10,65
18,11,2.5,150,-0.047626868,-0.038961039,4,0.79,0.6,35,552,11,63
18,11,2.4,180,0.060765315,0.188311688,7,0.81,0.6,71,550,10,71.15
18,11,2.5,180,-0.047626868,-0.038961039,7,0.71,0.6,71,550,15,55.32
18,11,3,174,0.151092133,-0.038961039,7,0.3,0.4,15,520,12,102.3
18,11,3.45,160,-0.047626868,-0.038961039,7,0.4,0.6,35,396,14,26.7
18,10,2.65,191,-0.047626868,-0.038961039,7,0.5,0.6,35,384,21,33
18,10,3.7,177,-0.047626868,-0.038961039,7,0.6,0.6,35,350,8,54.3
18,0,2.4,65,-0.047626868,-0.038961039,7,0.36,0.6,35,314,6,21.9
